business_date,settlement_currency,transaction_currency,account_number,agent_name,legacy_id,tran_date,transaction_id,reference_id,product,tran_type,orig_cntry,rcv_cntry,tran_fx_rate,stlmt_fx_rate,fx_date,stlmt_fx_date,base_amt,base_stlmt_amt,fee_amt,fee_stlmt_amt,fx_rev_share_amt,fx_rev_share_stlmt_amt,comm_amt,cmsn_stlmt_amt,commission_type
2024-12-07,EUR,XOF,100807960,ORABANK SENEGAL - #01003 - PIKINE - THIAROYE,725818,2024-12-07,2893405908,27982152,MT,REC,USA,SEN,604.84746350583,0.00152449,2024-07-11,2024-07-12,-210021.0,-320.17,2155.0,0.0,-1505.0,-2.29,-517.0,-0.79,mk
2024-12-07,EUR,XOF,100807960,ORABANK SENEGAL - #01003 - PIKINE - THIAROYE,725818,2024-12-07,2893405908,27982152,MT,REC,USA,SEN,604.84746350583,0.00152449,2024-07-11,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.23,mk
2024-12-07,EUR,XOF,100807960,ORABANK SENEGAL - #01003 - PIKINE - THIAROYE,725818,2024-12-07,2893405908,27982152,MT,REC,USA,SEN,604.84746350583,0.00152449,2024-07-11,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.08,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2892598204,83612312,MT,REC,FRA,SEN,655.95707416907,0.00152449,2024-07-09,2024-07-12,-150870.0,-230.0,1850.0,0.0,0.0,0.0,-444.0,-0.68,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2892598204,83612312,MT,REC,FRA,SEN,655.95707416907,0.00152449,2024-07-09,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.07,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2893357837,16502726,MT,REC,GNB,SEN,655.95707416907,0.00152449,2024-07-11,2024-07-12,-50000.0,-76.22,2000.0,0.0,0.0,0.0,-480.0,-0.73,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2893357837,16502726,MT,REC,GNB,SEN,655.95707416907,0.00152449,2024-07-11,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.07,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2893644501,19492157,MT,REC,USA,SEN,604.84746350583,0.00152449,2024-07-11,2024-07-12,-30545.0,-46.57,2268.0,0.0,0.0,0.0,-544.0,-0.83,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2893644501,19492157,MT,REC,USA,SEN,604.84746350583,0.00152449,2024-07-11,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.08,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2893743498,60962031,MT,REC,ESP,SEN,655.95707416907,0.00152449,2024-07-12,2024-07-12,-30003.0,-45.74,2460.0,0.0,0.0,0.0,-590.0,-0.9,mk
2024-12-07,EUR,XOF,101414680,DIOUF AMADOU MACTAR HLM GRAND YOFF - #2,26978,2024-12-07,2893743498,60962031,MT,REC,ESP,SEN,655.95707416907,0.00152449,2024-07-12,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.09,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2892270945,85583209,MT,REC,ESP,SEN,655.95707416907,0.00152449,2024-07-08,2024-07-12,-20184.0,-30.77,2460.0,0.0,0.0,0.0,-590.0,-0.9,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2892270945,85583209,MT,REC,ESP,SEN,655.95707416907,0.00152449,2024-07-08,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.09,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2893404187,61872564,MT,REC,ITA,SEN,655.95707416907,0.00152449,2024-07-11,2024-07-12,-100001.0,-152.45,2624.0,0.0,0.0,0.0,-630.0,-0.96,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2893404187,61872564,MT,REC,ITA,SEN,655.95707416907,0.00152449,2024-07-11,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.1,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2893696858,26932384,MT,REC,FRA,SEN,655.95707416907,0.00152449,2024-07-12,2024-07-12,-40000.0,-60.98,2165.0,0.0,0.0,0.0,-520.0,-0.79,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2893696858,26932384,MT,REC,FRA,SEN,655.95707416907,0.00152449,2024-07-12,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.08,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2893712811,96060567,MT,REC,ITA,SEN,655.95707416907,0.00152449,2024-07-12,2024-07-12,-95770.0,-146.0,2624.0,0.0,0.0,0.0,-630.0,-0.96,mk
2024-12-07,EUR,XOF,100931138,EQUINOXES VOYAGES SENEGAL SARL - DAKAR,841282,2024-12-07,2893712811,96060567,MT,REC,ITA,SEN,655.95707416907,0.00152449,2024-07-12,2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.1,mk
